ID,Father,Died_AD,Era,Source_Work,Source_Ref,Quote_Text,Topic,Subtopics,Position,Book,Section,Notes
FC090,Augustine,354-430,Latin Patristic,In Psalmum (contra Donatistas),,"Number the priests, even from the very seat of Peter, that is, the rock which the gates of hell cannot overcome.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,"Peter's seat = his doctrine / confession, not personal authority."
FC091,Hilary of Poitiers,c.315-368,Latin Patristic,De Trinitate,bk. 6,"[Peter's faith/confession is the rock, not Peter himself.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = faith of Peter.
FC092,Chrysostom,c.347-407,Greek Patristic,In Matthaeum,Hom. 55,"[Peter's faith/confession is the rock, not Peter himself.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = faith of Peter.
FC093,Ambrose,c.339-397,Latin Patristic,In Lucam,"bk. 6, ch. 9",Your faith is the rock.,Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Faith = the rock.
FC094,Cyril of Alexandria,c.376-444,Greek Patristic,Dialogus de Trinitate,Dialog. 4,"[Peter's faith/confession is the rock, not Peter himself.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Peter's confession.
FC095,Theodoret,c.393-458,Greek Patristic,In Psalmum 47; In 1 Corinthians 3,,"[The rock in Matthew 16 is Christ, not Peter.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC096,Bernard of Clairvaux,c.1090-1153,Medieval,De Consideratione ad Eugenium,"bk. 2, ch. 8",[The pope is called] Christ by his anointing.,Papacy & Church Governance,Papal Hyperbole,Roman Catholic,Forged Catholicism,Primacy of Rome,Cited as example of hyperbolical patristic language about the pope.
FC097,Leo the Great,c.400-461,Latin Patristic,Epistolae,Ep. 89,Peter was assumed into the fellowship of the undivided Trinity.,Papacy & Church Governance,Papal Hyperbole,Roman Catholic,Forged Catholicism,Primacy of Rome,Extreme hyperbole about Peter — Perkins: not literal doctrine.
FC098,Nazianzene (Gregory of Nazianzus),c.329-390,Greek Patristic,Oration on Basil,,"[Basil's soul is in heaven and offers sacrifice, as I suppose (ὡς οἶμαι).]",Papacy & Church Governance,Invocation & Intercession,Nuanced,Forged Catholicism,Primacy of Rome,Nazianzene hedges with 'as I suppose' — shows he is not asserting doctrine.
FC099,Theodoret,c.393-458,Greek Patristic,Historia Ecclesiastica,"bk. 1, ch. 7",The emperor called that noble Council of Nicaea.,Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,"Councils called by emperors, not popes."
FC100,Cyprian,c.200-258,Latin Patristic,Epistolae,Ep. 1 lib. 3,"Peter's chair is the church, where not so much the person of Peter, or his personal successor, as his doctrine is resident.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,"Petrine chair = doctrinal teaching, not jurisdictional seat."
FC101,Nazianzene (Gregory of Nazianzus),c.329-390,Greek Patristic,Oration on Cyprian,,"Cyprian was not set over the Church of Carthage only, no, nor only over the churches of Africa, all which have received much honor and renown by him and from him, but he was, as it were, a bishop, even over all the western churches, yea almost over all the eastern also.",Papacy & Church Governance,Papal Hyperbole,Nuanced,Forged Catholicism,Primacy of Rome,"Honorific, not jurisdictional, primacy of Cyprian — parallels Roman claims."
FC102,Irenaeus,c.130-202,Greek Patristic,Adversus Haereses,,"[Irenaeus believed the bread Christ broke as His body, yet never dreamed of transubstantiation.]",Lord's Supper,Against Transubstantiation,Reformed,Forged Catholicism,Lord's Supper,Real presence without transubstantiation.
FC103,Justin Martyr,c.100-165,Greek Patristic,Apologia,,"[Justin Martyr held the bread is body, but never dreamed of transubstantiation.]",Lord's Supper,Against Transubstantiation,Reformed,Forged Catholicism,Lord's Supper,Pre-transubstantiation eucharistic theology.
FC104,Tertullian,c.220,Latin Patristic,Adversus Marcionem,bk. 4,[Tertullian takes 'this is my body' in a figurative sense.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative interpretation of institution words.
FC105,Origen,c.185-253,Greek Patristic,In Leviticum; In Matthaeum,Hom. 7; ch. 15,[Origen takes 'this is my body' in an allegorical sense.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Allegorical/figurative reading.
FC106,Cyprian,c.200-258,Latin Patristic,De Unctione Chrismatis,,[Cyprian takes 'this is my body' in a figurative sense.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative reading.
FC107,Nazianzene (Gregory of Nazianzus),c.329-390,Greek Patristic,De Paschate,,[Nazianzene takes 'this is my body' in a figurative sense.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative reading.
FC108,Ambrose,c.339-397,Latin Patristic,De Sacramentis; In 1 Corinthians 11,"bk. 4, ch. 5; various",[Ambrose takes 'this is my body' in a figurative sense in three places.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative reading in Ambrose.
FC109,Jerome,c.347-420,Latin Patristic,In Matthaeum; In Marcum,ch. 26; ch. 14,[Jerome takes 'this is my body' in a figurative sense in two places.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative reading in Jerome.
FC110,Augustine,354-430,Latin Patristic,De Doctrina Christiana; De Trinitate; Epistolae; etc.,"bk. 3, ch. 16; bk. 3, ch. 4 & 10; Ep. 23; In Levit. q. 57; etc.",[Augustine takes 'this is my body' in a figurative sense in seven or eight places.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Multiple instances of figurative reading in Augustine.
FC111,Chrysostom,c.347-407,Greek Patristic,In Psalmum 22,,[Chrysostom takes 'this is my body' in a figurative sense.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,Figurative reading.
FC112,Augustine,354-430,Latin Patristic,In Ioannem,Tract. 30,"Our Lord is above, but here also, and our Lord is truth. For His body wherein He rose again, may be but in one place, but His truth is spread abroad everywhere.",Lord's Supper,Christ's Body in One Place,Reformed,Forged Catholicism,Lord's Supper,Christ's body is locally circumscribed — against ubiquity.
FC113,Augustine,354-430,Latin Patristic,Epistolae,Ep. 57 ad Dardanum,"He ascended into heaven, sits at God's right hand, from whence and from no other place He shall come to judgment. In that He is God, He is everywhere; but as He is man, He is but in heaven.",Lord's Supper,Christ's Body in One Place,Reformed,Forged Catholicism,Lord's Supper,Christ as man is locally in heaven.
FC114,Fulgentius,c.462-527,Latin Patristic,Ad Thrasimundum,"bk. 2, ch. 17","According to His human substance, he left the earth, when He ascended up to heaven.",Lord's Supper,Christ's Body in One Place,Reformed,Forged Catholicism,Lord's Supper,Christ's humanity ascended and departed earth.
FC115,Augustine,354-430,Latin Patristic,De Trinitate,"bk. 3, ch. 4","We call that only the body and blood of Christ, which we, taking from the fruits of the earth and consecrating with mystical prayer, do receive in due order, for our soul's health; and as a memorial of our Lord's suffering for us.",Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,"Consecration by prayer, not bare words alone."
FC116,Augustine,354-430,Latin Patristic,In Ioannem,Tract. 25 & 26,[Augustine makes an opposition between sacramental eating and true (spiritual) eating.],Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,"True eating = spiritual, not bodily reception."
FC117,Augustine,354-430,Latin Patristic,De Civitate Dei,"bk. 10, ch. 20",Therein the church truly offers herself unto God.,Lord's Supper,Sacraments|Spiritual Language,Reformed,Forged Catholicism,Lord's Supper,"Church offers herself, not Christ to the Father."
FC118,Chrysostom,c.347-407,Greek Patristic,In 1 Corinthians,Hom. 24,"What is in the cup? That which flowed from His side. And again, that which He suffered not upon the cross, He suffers for you in the offering, suffering Himself to be thrust through.",Lord's Supper,Sacraments|Spiritual Language,Nuanced,Forged Catholicism,Lord's Supper,"Perkins: rhetorical hyperbole, not literal doctrine of repeated sacrifice."
FC119,Ambrose,c.339-397,Latin Patristic,De Sacramentis,"bk. 4, ch. 5","Will you know what are the heavenly words of consecration? These are they: the priest says, 'Make this oblation ascribed unto us, reasonable and acceptable for us, who the day before His passion took bread in His holy hands...'",Lord's Supper,Sacraments|Spiritual Language,Nuanced,Forged Catholicism,Lord's Supper,"Shows early church used longer narrative, not just 5 words, for consecration."
FC120,Jerome,c.347-420,Latin Patristic,In Epistolam ad Ephesios,ch. 1,"The flesh and blood of our Lord is understood two ways: either for His spiritual, and divine flesh and blood, whereof He said, 'My flesh is meat indeed'; or for the flesh which was nailed on the cross, and that blood which was shed by the soldier's spear.",Lord's Supper,Sacraments|Spiritual Language,Nuanced,Forged Catholicism,Lord's Supper,Jerome's two-nature eucharistic theology.
FC121,Ambrose,c.339-397,Latin Patristic,Epistolae,Ep. 71,"Let no man glory in his works, because no man is justified by his deeds. But he that has justice, has it in gifts, because after baptism he is justified. It is therefore faith that frees him through the blood of Christ, because happy is he that has his sins forgiven and his pardon granted.",Justification,Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,"Ambrose: justification by faith, not works."
FC122,Augustine,354-430,Latin Patristic,Confessiones,"bk. 9, ch. 13","Woe also be unto the man of most commendable life, if you sift his actions without the favor of mercy.",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,No trust in personal merit before God's tribunal.
FC123,Augustine,354-430,Latin Patristic,Ad Bonifacium,"bk. 4, ch. 4","Only Christ did undergo punishment for us without any evil desert, that we might attain unto grace by Him, without any good desert.",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,Grace without desert.
FC124,Augustine,354-430,Latin Patristic,Sermo 49 de Tempore,,"What is that? Enter not into judgment with Thy servant. Stand not in judgment with me, nor exact of me all that Thou hast constrained me, and enjoined me, for Thou wilt find me guilty, if Thou enter but in judgment with me. Wherefore I stand in need of Thy mercy, rather than of Thy most easy judgment.",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,Augustine's penitential trust in mercy alone.
FC125,Augustine,354-430,Latin Patristic,De Gratia et Libero Arbitrio,ch. 7,"If that your good deserts be God's gifts, then He does not crown your good deserts as your own deservings, but as His own gifts.",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,"Merit is God's gift, not basis of reward."
FC126,Augustine,354-430,Latin Patristic,In Psalmum 67,,The ungodly is justified by faith without any good deserts of his works.,Justification,Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Justification by faith without works.
FC127,Augustine,354-430,Latin Patristic,De Spiritu et Littera,ch. 13,"We do gather out of many testimonies, that man is not justified by the precepts of good life, but by the faith of Jesus Christ.",Justification,Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Classic Augustine sola fide text.
FC128,Basil of Caesarea,c.330-379,Greek Patristic,In Psalmum 114,,"Eternal rest is prepared for those that have resisted the devil strongly in this life, not as a debt given to their works, but out of the bounteous grace of the most mighty and merciful God.",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,Eternal life is not a debt for works.
FC129,Basil of Caesarea,c.330-379,Greek Patristic,In Psalmum 32,,"If by Himself the judgment of God were sufficient, and if He should deal with us severely according unto our merits, what hope were there remaining for any of us?",Justification,Sola Gratia|Sola Fide,Reformed,Forged Catholicism,Justification,No hope in merits if God judges strictly.
FC130,Remigius of Auxerre,c.841-908,Medieval,In Psalmum 10,,"All my faith is in Christ. By Him only I believe to be justified and saved; He is my rock, He is my refuge.",Justification,Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Medieval witness to faith in Christ alone.
FC131,Theophylact,c.1055-1107,Byzantine,Various,,"He that believes with a strong affection extends his heart wholly unto God, and what then? He is united to him. And his heart being enkindled, conceives a most certain assurance to be made partaker of His desire.",Justification,Assurance of Faith|Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Assurance through strong faith.
FC132,Bernard of Clairvaux,c.1090-1153,Medieval,In Annuntiatione,Serm. 1,"If you believe that your sins cannot be forgiven but by Him whom only you did sin against, and who Himself cannot sin, you do well. But add this, that you believe that by Him they may be forgiven; this is the testimony that the Holy Ghost sets down in your heart, saying your sins are forgiven you.",Justification,Assurance of Faith|Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Spirit-wrought certainty of forgiveness.
FC133,Bernard of Clairvaux,c.1090-1153,Medieval,Epistolae,Ep. 107,"Who is righteous but he that recompenses God's love with his love again? And this is never done but when the Holy Ghost by faith reveals unto man God's purpose from everlasting, concerning his future salvation.",Justification,Assurance of Faith|Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Assurance revealed by the Holy Ghost through faith.
FC134,Bernard of Clairvaux,c.1090-1153,Medieval,Sermones de Dedicatione,Serm. 5,"Here it is most plainly necessary that faith do succor us, that that which lies hidden concerning us in the heart of the Father, may by His Spirit be revealed unto us, and the same Spirit testifying unto us, may persuade our spirits that we are the sons of God.",Justification,Assurance of Faith|Sola Fide|Sola Gratia,Reformed,Forged Catholicism,Justification,Filial assurance by the Spirit.
FC135,Anselm,c.1033-1109,Medieval,Prayers and Meditations,,"In this death alone place all your trust; unto this death commit yourself wholly, with this death cover yourself wholly, and therein enwrap yourself wholly. If God will judge you, say, 'O Lord, I put the death of our Lord Jesus Christ betwixt me and Thee and Thy judgment; no otherwise do I stand out with Thee.'",Justification,Imputed Righteousness|Sola Fide,Reformed,Forged Catholicism,Justification,Medieval imputed righteousness language.
FC136,Bellarmine,1542-1621,Post-Tridentine,De Iustificatione,"bk. 5, ch. 7","Because of the uncertainty of our own justice, and the danger of vain glory, it is most safe and sure to place all our trust upon the only mercy and benignity of God.",Justification,Assurance of Faith|Sola Gratia,Reformed,Forged Catholicism,Justification,Bellarmine's admission used against Roman confidence in merit.
FC137,Petrus de Alliaco,1351-1420,Medieval,In Sententiarum,"bk. 1, q. 1, art. 3","The principles of divinity are the very truths of the sacred canon. Moreover, the final resolution of theological discourse appertains unto them, and from them the conclusions of all divinity are drawn.",Scripture & Canon,Sola Scriptura,Reformed,Forged Catholicism,Holy Scripture,Scholastic concession to Scripture's foundational role.
FC138,Chrysostom,c.347-407,Greek Patristic,In Romanos,Hom. 8,"Not to steal or kill is in every man's power, but to believe that God can do that which is otherwise impossible, this requires a mind elevated, and a more vehement affection towards God, for this is a sign of a worthy and noble love. He honors God that keeps His commandments, but he much more that can argue and dispute through his faith.",Works & Supererogation,Supererogation Qualified,Reformed,Forged Catholicism,Supererogation,"Supererogation = elevated faith and affection, not meritorious excess."
FC139,Chrysostom,c.347-407,Greek Patristic,In 1 Corinthians,Hom. 3,Are not His precepts so easy that many have gone beyond them by philosophical reason?,Works & Supererogation,Supererogation Qualified,Nuanced,Forged Catholicism,Supererogation,Philosophers exceed external precepts — not moral law.
FC140,Augustine,354-430,Latin Patristic,De Opere Monachorum,ch. 5,"The apostle Paul did spend more, because (as himself witnessed) he warred at his own charges.",Works & Supererogation,Supererogation Qualified,Nuanced,Forged Catholicism,Supererogation,"Augustine's supererogation = exceeding common practice, not the law."
FC141,Augustine,354-430,Latin Patristic,Sermones de Verbis Apostoli,Serm. 8,"The virgins did labor for the beauty of the heart. What do You command us? To abstain from adultery; do You command us this? We do perform more in loving You than You command us, that is, in this commandment.",Works & Supererogation,Supererogation Qualified,Nuanced,Forged Catholicism,Supererogation,Supererogation = exceeding one particular commandment in love.
FC142,Radulphus,c.1070-1118,Medieval,In Leviticum,"bk. 1, ch. 1","We can hardly do one good work without intermixing of some sin or other with it. And it is to be feared, lest when we look for a complete reward of devotion, the punishment for the fault therewith conjoined be not exacted of us.",Works & Supererogation,Supererogation Qualified,Reformed,Forged Catholicism,Supererogation,Good works contain intermixed sin — supererogation impossible.
FC143,Tertullian,c.220,Latin Patristic,Adversus Marcionem,bk. 2,There should no law have been given unto him that has not the due keeping of the law in his own power. And the same freedom of will makes us victors of the same devil.,Free Will & Grace,Synergism,Roman Catholic,Forged Catholicism,Free Will,Pre-Augustinian free will — Perkins calls this patristic error.
FC144,Jerome,c.347-420,Latin Patristic,Contra Pelagianos,"bk. 2, ch. 1","It is our part to begin, and God's to perfect; we must do what we can, he will fulfill what we cannot.",Free Will & Grace,Synergism,Roman Catholic,Forged Catholicism,Free Will,Semi-Pelagian free will — patristic error before Augustine's full teaching.
FC145,Chrysostom,c.347-407,Greek Patristic,In Genesim,Hom. 42,"Unless the patriarch had first done his part, he had not obtained so great things of God. God in His blessings to us does not prevent our wills, but it must begin in ourselves.",Free Will & Grace,Synergism,Roman Catholic,Forged Catholicism,Free Will,Chrysostom's synergism — patristic error.
FC146,Chrysostom,c.347-407,Greek Patristic,In Ioannem,Hom. 17,"Let us here observe that God in His blessings to us does not prevent our wills, but it must begin in ourselves. And when He sees our minds prompt and ready to receive grace, then He gives us many occasions of salvation.",Free Will & Grace,Synergism,Roman Catholic,Forged Catholicism,Free Will,Chrysostom's synergism.
FC147,Augustine,354-430,Latin Patristic,De Praedestinatione Sanctorum,"bk. 1, ch. 3","I said that it lives in us to believe and to will, and in God to give the power of working well unto the believing and willing.",Free Will & Grace,Synergism,Nuanced,Forged Catholicism,Free Will,Augustine's earlier (not fully mature) position — he distinguishes.
FC148,Augustine,354-430,Latin Patristic,De Natura et Gratia,ch. 36,"Why do we presume so much of the power of nature? It is wounded, maimed, vexed, and lost. Let us confess it freely, and not defend it falsely. Wherefore let us seek the grace of God, not to inform, but to reform it thereby.",Free Will & Grace,Bondage of the Will,Reformed,Forged Catholicism,Free Will,Augustine's mature view of will's bondage.
FC149,Augustine,354-430,Latin Patristic,De Spiritu et Littera,ch. 3,"Free will has not any power but unto sin, if the way of truth be unknown; and when that which is to be done begins to appear, unless also it delight, and be beloved, there is no doing, no undertaking, no well living.",Free Will & Grace,Bondage of the Will,Reformed,Forged Catholicism,Free Will,Will cannot act toward good without grace.
FC150,Chrysostom,c.347-407,Greek Patristic,In Hebraeos,Hom. 7,"Use your marriage with modesty and moderation, and you shall be the chief in the kingdom and enjoy the fullness of blessings.",Marriage & Celibacy,Marriage,Reformed,Forged Catholicism,Celibacy,Chrysostom affirms married life and kingdom blessing.
FC151,Origen,c.185-253,Greek Patristic,In Romanos,bk. 8,"Because we see that divers of the saints, yea, and some apostles, have had wives, we cannot think thus of virginity only.",Marriage & Celibacy,Marriage,Reformed,Forged Catholicism,Celibacy,Married apostles prove marriage is honored.
FC152,Cyprian,c.200-258,Latin Patristic,De Bono Pudicitiae,,"Virginity is equal unto angels; nay, if we seek it willingly, it exceeds them, because in striving in the flesh, it obtains a victory against nature, which the angels have not.",Marriage & Celibacy,Virginity,Roman Catholic,Forged Catholicism,Celibacy,Cited as patristic hyperbole about virginity.
FC153,Athanasius,c.296-373,Greek Patristic,De Virginitate,,"O continency, the prophet's joy, the apostle's glory! O continency, the life of angels and the crown of sanctity!",Marriage & Celibacy,Virginity,Roman Catholic,Forged Catholicism,Celibacy,Hyperbolic praise of virginity.
FC154,Syricius,c.334-399,Latin Patristic,Epistola ad Himerium Episcopum Tarraconensem,,"Those that are in the flesh, that is, in matrimony, cannot please God.",Marriage & Celibacy,Marriage,Roman Catholic,Forged Catholicism,Celibacy,Patristic error — denigrating marriage.
FC155,Tertullian,c.220,Latin Patristic,De Monogamia,,It is evil to contract matrimony.,Marriage & Celibacy,Marriage,Roman Catholic,Forged Catholicism,Celibacy,Patristic error — Tertullian in Montanist period.
FC156,Jerome,c.347-420,Latin Patristic,Contra Iovinianum,bk. 1,"In the fulfilling the duty of a husband, I fulfilled not the duty of a Christian, and it is an evil thing to touch a woman.",Marriage & Celibacy,Marriage,Roman Catholic,Forged Catholicism,Celibacy,Jerome's extreme anti-marriage statement.
FC157,Athanasius,c.296-373,Greek Patristic,De Virginitate,,The woman's body is polluted by her husband's.,Marriage & Celibacy,Marriage,Roman Catholic,Forged Catholicism,Celibacy,Patristic error.
FC158,Isidore of Seville,c.560-636,Medieval,De Officiis Divinis,"bk. 2, ch. 10","Let those that meddle with the holy mysteries be chaste, and continent, and free from all fleshly uncleanness.",Marriage & Celibacy,Virginity,Roman Catholic,Forged Catholicism,Celibacy,Celibacy for ministers of sacred rites.
FC159,Clemens Alexandrinus,c.150-215,Greek Patristic,Stromata,bk. 7,"He that has attained unto true perfection has the apostles for his patterns, and is truly counted a man, not in that he has made a choice of monastical life; but he conquers and excels men, that exercises himself in matrimony and increase of children, and in care and governance of his family, without either pleasure or sorrow.",Marriage & Celibacy,Marriage,Reformed,Forged Catholicism,Celibacy,Clement holds married life as true perfection.
FC160,Chrysostom,c.347-407,Greek Patristic,In Ioannem,Hom. 20,[Chrysostom touches Mary with ambition and rashness at the wedding in Cana.],Marian Doctrine,Mary's Sinlessness,Reformed,Forged Catholicism,Marian Doctrine,Fathers accused Mary of sin — against Immaculate Conception.
FC161,Origen,c.185-253,Greek Patristic,In Lucam,Hom. 17,[Origen accuses Mary of infidelity.],Marian Doctrine,Mary's Sinlessness,Reformed,Forged Catholicism,Marian Doctrine,Fathers accused Mary of sin.
FC162,Tertullian,c.220,Latin Patristic,De Carne Christi,ch. 7,[Tertullian accuses Mary of infidelity.],Marian Doctrine,Mary's Sinlessness,Reformed,Forged Catholicism,Marian Doctrine,Fathers accused Mary of sin.
FC163,Irenaeus,c.130-202,Greek Patristic,Adversus Haereses,"bk. 5, ch. 19","[Irenaeus calls Mary Eve's advocate hyperbolically — referring to her bringing Christ the Redeemer, not to her intercession.]",Marian Doctrine,Mary as Mediatrix,Reformed,Forged Catholicism,Marian Doctrine,Eve/Mary typology does not support Marian mediation.
FC164,Bonaventure,1221-1274,Medieval,In Tertiam Sententiarum,"dist. 3, q. 2","We must beware lest we do not diminish the Son's glory in amplifying of the mother's, and therein provoke the mother to wrath, who had rather have her Son honored than herself, as the Creator ought to be before the creature.",Marian Doctrine,Marian Veneration Qualified,Reformed,Forged Catholicism,Marian Doctrine,Even Bonaventure urges restraint in Marian honor.
FC165,Theodoret,c.393-458,Greek Patristic,In Colossenses,ch. 1,"I think that he calls the cherubim the thrones (for the prophet Ezekiel saw the throne of the deity placed upon them), and by dominations, principalities, and powers, he means those that governed the nations.",Angels,Nine Choirs,Reformed,Forged Catholicism,Additions,Theodoret's interpretation overthrows nine-choir schema.
FC166,Augustine,354-430,Latin Patristic,Enchiridion,ch. 58,"Whether the archangels be called virtues, or what the difference is between these four words, 'thrones, dominations, principalities, and powers,' let them tell that can, if they prove what they say. I confess plainly, that I am altogether ignorant.",Angels,Nine Choirs,Reformed,Forged Catholicism,Additions,Augustine's ignorance proves nine choirs is a later innovation.
FC167,Chrysostom,c.347-407,Greek Patristic,De Lazaro,Hom. ultimo,[Chrysostom denies that the souls of the dead can return unto the living.],Purgatory & Afterlife,Souls Cannot Return,Reformed,Forged Catholicism,Additions,Fathers deny souls of dead return to living.
FC168,Tertullian,c.220,Latin Patristic,De Anima,,[Tertullian denies that the souls of the dead can return unto the living.],Purgatory & Afterlife,Souls Cannot Return,Reformed,Forged Catholicism,Additions,Fathers deny souls of dead return to living.
FC169,Isidore of Seville,c.560-636,Medieval,Etymologiae,"bk. 8, ch. 9",[Isidore denies that the souls of the dead can return unto the living.],Purgatory & Afterlife,Souls Cannot Return,Reformed,Forged Catholicism,Additions,Fathers deny souls of dead return to living.
FC170,Theophilact,c.1055-1107,Byzantine,In Matthaeum,ch. 8,[Theophilact denies that the souls of the dead can return unto the living.],Purgatory & Afterlife,Souls Cannot Return,Reformed,Forged Catholicism,Additions,Fathers deny souls of dead return to living.
FC171,Augustine,354-430,Latin Patristic,De Cura pro Mortuis Gerenda,ch. 15 & 16,[Augustine seems to be of another opinion — the souls of the dead may appear to the living.],Purgatory & Afterlife,Souls Cannot Return,Nuanced,Forged Catholicism,Additions,Augustine hedges — some tension with other fathers.
FC172,Sozomen,c.400-450,Greek Patristic,Historia Ecclesiastica,"bk. 1, ch. 26","The emperor called a council at Nicaea in Bithynia, setting down a day for all the rulers of every church in all places, to be there present.",Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,"Councils convened by emperors, not popes."
FC173,Epiphanius,c.315-403,Greek Patristic,Haereses,Haer. 69,"The king, having a care of the church, called a general council. We bishops, assembled from divers provinces, as Selvica in Isauria, at the command of our high and mighty prince Constantine.",Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,"Emperor commands council, not pope."
FC174,Socrates Scholasticus,c.380-450,Greek Patristic,Historia Ecclesiastica,"bk. 5, ch. 8","The emperor, without delay called a council of bishops that embraced his faith.",Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,Emperor convenes councils.
FC175,Chrysostom,c.347-407,Greek Patristic,Epistola ad Innocentem I,,We went unto his sacred majesty and entreated him to call a council.,Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,"Chrysostom petitions emperor, not pope, for council."
FC176,Aeneas Sylvius (Pius II),1405-1464,Medieval,De Actis Concilii Basiliensis,bk. 1,"I cannot find, neither in ancient history, nor in the Acts of the Apostles, that it was a use at any time for the popes alone to call councils.",Papacy & Church Governance,Imperial Convocation of Councils,Reformed,Forged Catholicism,Councils,Even a future pope admits popes did not call councils.
FC177,Ambrose,c.339-397,Latin Patristic,De Elia et Ieiunio,ch. 22,"Undergo the yoke of Christ... He does not bind your neck with bands, but couples the mind to Him with favor and grace. He does not compel a man by necessity, but directs the willing of good works.",Fasting,Fasting,Reformed,Forged Catholicism,Fastings,"Fasting is voluntary, not legally compelled."
FC178,Augustine,354-430,Latin Patristic,Contra Faustum Manichaeum,"bk. 30, ch. 5","Christians, not heretics, but Catholics do abstain both from some sorts of flesh and also from some kinds of fruits, and that for the taming of the flesh... And this use is observed either continually, which few do, or at certain times and days, as almost all do throughout the Lent, everyone as much or as little as he is willing, or as he is able.",Fasting,Fasting,Reformed,Forged Catholicism,Fastings,"Lent was voluntary, not legally binding."
FC179,Eusebius of Caesarea,c.260-340,Greek Patristic,Historia Ecclesiastica,"bk. 2, ch. 16","What should I stand to relate the often meetings together, and the exercises of the men being placed together in one room, and the women in another apart, and the severe order of discipline, which we as yet do customably observe, and do use to celebrate, especially upon the feast of our Lord's passion, not only in fasting and watchings, but in the diligent hearing of the Holy Scriptures?",Fasting,Canonical Hours,Reformed,Forged Catholicism,Fastings,"Early fasting was accompanied by Scripture hearing, not mere abstinence."
FC180,Basil of Caesarea,c.330-379,Greek Patristic,Homiliae,"Hom. 24, in Ebrietat.","If we have done no good by so many admonitions, which I have never omitted to exhort you with in all the time before, and now especially in these seven weeks of fasting, wherein continually, night and day, I have instructed you in the doctrine of the Gospel without all intermission.",Fasting,Fasting,Reformed,Forged Catholicism,Fastings,Basil: Lent is for intensive spiritual instruction.
FC181,Epiphanius,c.315-403,Greek Patristic,In fine Panarion,,"This fast is not appointed us whereby to render any favor or good turn unto Him that suffered for us, but to confess and acknowledge His passion, which He undertook for us unto our salvation.",Fasting,Fasting,Reformed,Forged Catholicism,Fastings,"Fasting = acknowledgment of Christ's passion, not meritorious work."
FC182,Chrysostom,c.347-407,Greek Patristic,In Populum Antiochenum,Hom. 19,"For this end have we our fastings and our Lent. For this end have we so many holy meetings, and hearing, and hitherto tend all our prayers, and all our doctrine, namely, that being by the diligent meditation of God's precepts cleansed from all the spots of sin, we may receive that unbloody sacrifice.",Fasting,Fasting,Reformed,Forged Catholicism,Fastings,Fasting for spiritual cleansing and worthy communion.
